ICD	Term	priority_1	priority_2	priority_3	index
E10.0	Type 1 diabetes mellitus With coma	NA	1	NA	1
E10.1	Type 1 diabetes mellitus With ketoacidosis	NA	1	NA	2
E10.2	Type 1 diabetes mellitus With renal complications	NA	1	NA	3
E10.3	Type 1 diabetes mellitus With ophthalmic complications	NA	1	NA	4
E10.4	Type 1 diabetes mellitus With neurological complications	NA	1	NA	5
E10.5	Type 1 diabetes mellitus With peripheral circulatory complications	NA	1	NA	6
E10.6	Type 1 diabetes mellitus With other specified complications 	NA	1	NA	7
E10.7	Type 1 diabetes mellitus With multiple complications	NA	1	NA	8
E10.8	Type 1 diabetes mellitus With unspecified complications	NA	1	NA	9
E10.9	Type 1 diabetes mellitus Without complications	NA	1	NA	10
E11.0	Type 2 diabetes mellitus With coma	NA	1	NA	11
E11.1	Type 2 diabetes mellitus With ketoacidosis	NA	1	NA	12
E11.2	Type 2 diabetes mellitus With renal complications	NA	1	NA	13
E11.3	Type 2 diabetes mellitus With ophthalmic complication	NA	1	NA	14
E11.4	Type 2 diabetes mellitus With neurological complications	NA	1	NA	15
E11.5	Type 2 diabetes mellitus With peripheral circulatory complications	NA	1	NA	16
E11.6	Type 2 diabetes mellitus With other specified complications	NA	1	NA	17
E11.7	Type 2 diabetes mellitus With multiple complications	NA	1	NA	18
E11.8	Type 2 diabetes mellitus With unspecified complications	NA	1	NA	19
E11.9	Type 2 diabetes mellitus Without complications	NA	1	NA	20
E12.1	Malnutrition-related diabetes mellitus With ketoacidosis	NA	1	NA	21
E12.3	Malnutrition-related diabetes mellitus With ophthalmic complications	NA	1	NA	22
E12.4	Malnutrition-related diabetes mellitus With neurological complications	NA	1	NA	23
E12.9	Malnutrition-related diabetes mellitus Without complications	NA	1	NA	24
E13.1	Other specified diabetes mellitus With ketoacidosis	NA	1	NA	25
E13.3	Other specified diabetes mellitus With ophthalmic complications	NA	1	NA	26
E13.5	Other specified diabetes mellitus With peripheral circulatory complications	NA	1	NA	27
E13.6	Other specified diabetes mellitus With other specified complications	NA	1	NA	28
E13.8	Other specified diabetes mellitus With unspecified complications	NA	1	NA	29
E13.9	Other specified diabetes mellitus Without complications 	NA	1	NA	30
E14.0	Unspecified diabetes mellitus With coma	NA	NA	1	31
E14.1	Unspecified diabetes mellitus With ketoacidosis	NA	NA	1	32
E14.2	Unspecified diabetes mellitus With renal complications	NA	NA	1	33
E14.3	Unspecified diabetes mellitus With ophthalmic complications	NA	NA	1	34
E14.4	Unspecified diabetes mellitus With neurological complications	NA	NA	1	35
E14.5	Unspecified diabetes mellitus With peripheral circulatory complications	NA	NA	1	36
E14.6	Unspecified diabetes mellitus With other specified complications	NA	NA	1	37
E14.8	Unspecified diabetes mellitus With unspecified complications	NA	NA	1	38
E14.9	Unspecified diabetes mellitus Without complications	NA	NA	1	39
G59.0	Diabetic mononeuropathy	NA	NA	1	40
G63.2	Diabetic polyneuropathy	NA	NA	1	41
H28.0	Diabetic cataract	NA	NA	1	42
H36.0	Diabetic retinopathy	NA	NA	1	43
M14.2	Diabetic arthropathy	NA	NA	1	44
O24.0	Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, Type 1	1	NA	NA	45
O24.1	Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, Type 2	1	NA	NA	46
O24.2	Diabetes mellitus in pregnancy: Pre-existing malnutrition-related diabetes mellitus	1	NA	NA	47
O24.3	Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, unspecified	1	NA	NA	48
E13.0	Other specified diabetes mellitus With coma	NA	1	NA	51
E13.2	Other specified diabetes mellitus With renal complications	NA	1	NA	52
E13.4	Other specified diabetes mellitus With neurological complications	NA	1	NA	53
