medcodeid	Term	six_month	three_month	unambiguous	twelve_month_rev	possible_gdm	context_dep	index
787111000006112	iddm-insulin dependent diabetes mellitus	NA	NA	1	NA	NA	NA	1
77727018	insulin dependent diabetes mellitus	NA	NA	1	NA	NA	NA	2
772171000006114	insulin dependent diabetes mellitus	NA	NA	1	NA	NA	NA	3
292621010	diabetes mellitus nos with other specified manifestation	NA	NA	1	NA	NA	NA	4
772161000006119	insulin dependent diabetes mellitus	NA	NA	1	NA	NA	NA	5
616571000006118	diabetes mellitus, adult, + other specified manifestation	NA	NA	1	NA	NA	NA	6
13781000006113	other specified diabetes mellitus with other spec comps	NA	NA	1	NA	NA	NA	7
293756010	[x]other specified diabetes mellitus	NA	NA	1	NA	NA	NA	8
377001000006117	[x]diabetes mellitus	NA	NA	1	NA	NA	NA	9
913711000006112	insulin dependent diabetes maturity onset	NA	NA	1	NA	NA	NA	10
772151000006116	insulin dependent diabetes maturity onset	NA	NA	1	NA	NA	NA	11
121589010	diabetes mellitus	NA	NA	1	NA	NA	NA	12
12174801000006114	eye disorder due to diabetes mellitus	NA	NA	1	NA	NA	NA	13
2683581000006112	labile diabetes	NA	NA	1	NA	NA	NA	14
12218511000006112	kidney disorder due to diabetes mellitus	NA	NA	1	NA	NA	NA	15
1223147012	insulin treated type ii diabetes mellitus	NA	NA	1	NA	NA	NA	16
841351000006110	insulin treated type ii diabetes mellitus	NA	NA	1	NA	NA	NA	17
1223148019	insulin treated non-insulin dependent diabetes mellitus	NA	NA	1	NA	NA	NA	18
771331000006116	insulin dependent diabetes mellitus with arthropathy	NA	NA	1	NA	NA	NA	19
459293018	insulin dependent diabetes mellitus with arthropathy	NA	NA	1	NA	NA	NA	20
169731000006118	retinal abnormality - diabetes related	NA	NA	1	NA	NA	NA	21
2576431000006117	dr - diabetic retinopathy	NA	NA	1	NA	NA	NA	22
1230890017	autonomic neuropathy due to diabetes	NA	NA	1	NA	NA	NA	23
1230929011	secondary pancreatic diabetes mellitus	NA	NA	1	NA	NA	NA	24
12331051000006112	mononeuropathy with type 2 diabetes mellitus	NA	NA	1	NA	NA	NA	25
12331221000006112	exudative maculopathy with type 1 diabetes mellitus	NA	NA	1	NA	NA	NA	26
12332101000006118	cataract due to diabetes mellitus type 2	NA	NA	1	NA	NA	NA	27
12332271000006116	retinopathy with type 1 diabetes mellitus	NA	NA	1	NA	NA	NA	28
12332751000006116	mononeuropathy with type 1 diabetes mellitus	NA	NA	1	NA	NA	NA	29
12334141000006112	neurological disorder with diabetes type 2	NA	NA	1	NA	NA	NA	30
12334611000006116	neurological disorder with type 1 diabetes mellitus	NA	NA	1	NA	NA	NA	31
12335671000006112	exudative maculopathy with type 2 diabetes mellitus	NA	NA	1	NA	NA	NA	32
12335991000006116	peripheral vascular disorder due to diabetes mellitus	NA	NA	1	NA	NA	NA	33
12336111000006120	cataract due to diabetes mellitus type 1	NA	NA	1	NA	NA	NA	34
12336531000006116	retinopathy with type 2 diabetes mellitus	NA	NA	1	NA	NA	NA	35
12336851000006112	nervous system disorder due to diabetes mellitus	NA	NA	1	NA	NA	NA	36
12336871000006116	disorder of eye with type 2 diabetes mellitus	NA	NA	1	NA	NA	NA	37
12363661000006112	gastroparesis with type 1 diabetes mellitus	NA	NA	1	NA	NA	NA	38
12363681000006116	gastroparesis with type 2 diabetes mellitus	NA	NA	1	NA	NA	NA	39
12370271000006116	disorder of eye with type 1 diabetes mellitus	NA	NA	1	NA	NA	NA	40
292617015	diabetes mellitus with other specified manifestation	NA	NA	1	NA	NA	NA	41
292622015	diabetes mellitus with unspecified complication	NA	NA	1	NA	NA	NA	42
292626017	diabetes mellitus nos with unspecified complication	NA	NA	1	NA	NA	NA	43
13811000006110	other specified diabetes mellitus with unspecified comps	NA	NA	1	NA	NA	NA	44
719531000006118	malnutrition-related diabetes mellitus	NA	NA	1	NA	NA	NA	45
12702421000006112	type ii diabetes mellitus with ophthalmic complications	NA	NA	1	NA	NA	NA	46
1484867016	non proliferative diabetic retinopathy	NA	NA	1	NA	NA	NA	47
1484887015	o/e - diabetic maculopathy present both eyes	NA	NA	1	NA	NA	NA	48
1488393013	o/e - right diabetic foot at low risk	NA	NA	1	NA	NA	NA	49
1488394019	o/e - right diabetic foot at high risk	NA	NA	1	NA	NA	NA	50
1488395018	o/e - right diabetic foot - ulcerated	NA	NA	1	NA	NA	NA	51
1488396017	o/e - left diabetic foot - ulcerated	NA	NA	1	NA	NA	NA	52
1488397014	o/e - left diabetic foot at low risk	NA	NA	1	NA	NA	NA	53
1488398016	o/e - left diabetic foot at high risk	NA	NA	1	NA	NA	NA	54
1488403015	o/e - left diabetic foot at moderate risk	NA	NA	1	NA	NA	NA	55
1488404014	o/e - right diabetic foot at moderate risk	NA	NA	1	NA	NA	NA	56
1488405010	diabetic foot risk assessment	NA	NA	1	NA	NA	NA	57
1488441010	diabetes medication review	NA	NA	1	NA	NA	NA	58
850691000006118	hyperosmolar non-ketotic state in type 2 diabetes mellitus	NA	NA	1	NA	NA	NA	59
1488898011	hyperosmolar non-ketotic state in type 2 diabetes mellitus	NA	NA	1	NA	NA	NA	60
189721000000113	secondary diabetes mellitus without complication	NA	NA	1	NA	NA	NA	61
15518018	secondary diabetes mellitus	NA	NA	1	NA	NA	NA	62
1658861000000113	type i diabetic dietary review	NA	NA	1	NA	NA	NA	63
1658901000000118	type ii diabetic dietary review	NA	NA	1	NA	NA	NA	64
1665721000000112	type 2 diabetic dietary review	NA	NA	1	NA	NA	NA	65
1665751000000119	type 1 diabetic dietary review	NA	NA	1	NA	NA	NA	66
1666911000000113	o/e - left diabetic foot at increased risk	NA	NA	1	NA	NA	NA	67
1666931000000117	o/e - right diabetic foot at increased risk	NA	NA	1	NA	NA	NA	68
1667891000000113	hyperosmolar non-ketotic state in type ii diabetes mellitus	NA	NA	1	NA	NA	NA	69
8084961000006111	diabetes type ii review	NA	NA	1	NA	NA	NA	70
841011000006112	high risk non proliferative diabetic retinopathy	NA	NA	1	NA	NA	NA	71
6618061000006116	bronze diabetes	NA	NA	1	NA	NA	NA	72
1780311019	type 1 diabetes mellitus with persistent microalbuminuria	NA	NA	1	NA	NA	NA	73
928491000006110	type i diabetes mellitus with persistent microalbuminuria	NA	NA	1	NA	NA	NA	74
1780386019	diabetic foot examination	NA	NA	1	NA	NA	NA	75
1785163015	high risk proliferative diabetic retinopathy	NA	NA	1	NA	NA	NA	76
1785332013	background diabetic retinopathy	NA	NA	1	NA	NA	NA	77
746791000006111	insulin-dependent diabetes without complication	NA	NA	1	NA	NA	NA	78
292475010	diabetes mellitus nos with no mention of complication	NA	NA	1	NA	NA	NA	79
457327017	insulin-dependent diabetes without complication	NA	NA	1	NA	NA	NA	80
292466013	diabetes mellitus with no mention of complication	NA	NA	1	NA	NA	NA	81
197761014	type 2 diabetes mellitus	NA	NA	1	NA	NA	NA	82
84471000006119	type 2 diabetes mellitus	NA	NA	1	NA	NA	NA	83
3209441000006114	diabetes mellitus type 2	NA	NA	1	NA	NA	NA	84
84281000006115	type 1 diabetes mellitus	NA	NA	1	NA	NA	NA	85
197984010	type 1 diabetes mellitus	NA	NA	1	NA	NA	NA	86
3253241000006117	diabetes mellitus type 1	NA	NA	1	NA	NA	NA	87
19931010	brittle diabetes	NA	NA	1	NA	NA	NA	88
72651000006114	unstable insulin dependent diabetes mellitus	NA	NA	1	NA	NA	NA	89
411891014	unstable diabetes	NA	NA	1	NA	NA	NA	90
429972014	unstable insulin dependent diabetes mellitus	NA	NA	1	NA	NA	NA	91
4392151000006119	lipodystrophic diabetes	NA	NA	1	NA	NA	NA	92
4392201000006111	diabetic peripheral vascular disease	NA	NA	1	NA	NA	NA	93
205225016	diabetic nephropathy	NA	NA	1	NA	NA	NA	94
2115761000000117	diabetes self-management plan review	NA	NA	1	NA	NA	NA	95
2117891000000114	diabetes self-management plan agreed	NA	NA	1	NA	NA	NA	96
2159170012	patient on maximal tolerated therapy for diabetes	NA	NA	1	NA	NA	NA	97
2159948010	diabetic retinopathy 12 month review	NA	NA	NA	NA	NA	NA	98
