prodcodeid	productname	priority_2	priority_1
2728641000033110	OneTouch Ultra testing strips (LifeScan)	1	NA
2732941000033115	OneTouch UltraSoft lancets 0.4mm/28gauge (LifeScan)	1	NA
645641000033111	Glucamet  Tablets  850 mg	NA	NA
1017241000033115	Orabet  Tablets  850 mg	NA	1
1017141000033110	Orabet  Tablets  500 mg	NA	1
645541000033110	Glucamet  Tablets  500 mg	NA	NA
3890941000033116	Metformin Hydrochloride  Sugar free suspension  500 mg/5 ml	NA	NA
5128241000033116	Metformin Glucophage 1000mg	NA	NA
5132141000033111	Junamet Sitagliptin/Metformin 50/500mg	NA	1
644941000033117	Glucophage 500mg tablets	NA	NA
896941000033112	Metformin 500mg tablets	NA	NA
645041000033117	Glucophage 850mg tablets	NA	NA
897041000033113	Metformin 850mg tablets	NA	NA
6029841000033115	Metabet SR 500mg tablets	NA	NA
6391041000033117	Glucient SR 500mg tablets	NA	NA
3228141000033117	Metformin 500mg modified-release tablets	NA	NA
3228241000033112	Glucophage SR 500mg tablets	NA	NA
4957741000033118	Bolamyn SR 500mg tablets	NA	NA
9230641000033112	Sukkarto SR 500mg tablets	NA	NA
7874941000033110	Diagemet XL 500mg tablets	NA	NA
3191341000033115	Rosiglitazone 1mg / Metformin 500mg tablets	NA	1
2995141000033110	Avandamet 1mg/500mg tablets	NA	1
2995241000033115	Avandamet 2mg/500mg tablets	NA	1
3191441000033114	Rosiglitazone 2mg / Metformin 500mg tablets	NA	1
3200541000033116	Rosiglitazone 2mg / Metformin 1g tablets	NA	1
3200741000033112	Avandamet 2mg/1000mg tablets	NA	1
3200641000033115	Rosiglitazone 4mg / Metformin 1g tablets	NA	1
3200841000033119	Avandamet 4mg/1000mg tablets	NA	1
5997041000033115	Metformin 500mg/5ml oral solution	NA	NA
4549141000033118	Metformin 750mg modified-release tablets	NA	NA
4945241000033117	Metformin 1g modified-release tablets	NA	NA
3983941000033115	Pioglitazone 15mg / Metformin 850mg tablets	NA	1
3984241000033114	Competact 15mg/850mg tablets	NA	1
2620241000033119	Metformin 500mg/5ml oral suspension	NA	NA
3982441000033116	Metsol 500mg/5ml oral solution	NA	NA
3982341000033110	Metformin 500mg/5ml oral solution sugar free	NA	NA
4452441000033113	Vildagliptin 50mg / Metformin 1g tablets	NA	1
4452541000033114	Eucreas 50mg/1000mg tablets	NA	1
4452641000033110	Eucreas 50mg/850mg tablets	NA	1
4452341000033119	Vildagliptin 50mg / Metformin 850mg tablets	NA	1
5007741000033111	Metformin 1g oral powder sachets sugar free	NA	NA
5007941000033114	Glucophage 1000mg oral powder sachets	NA	NA
5007841000033118	Glucophage 500mg oral powder sachets	NA	NA
5007641000033119	Metformin 500mg oral powder sachets sugar free	NA	NA
5576041000033115	Metformin 1g / Sitagliptin 50mg tablets	NA	1
5132241000033116	Janumet 50mg/1000mg tablets	NA	1
8115741000033119	Linagliptin 2.5mg / Metformin 1g tablets	NA	1
8115941000033116	Jentadueto 2.5mg/1000mg tablets	NA	1
8115841000033112	Linagliptin 2.5mg / Metformin 850mg tablets	NA	1
8116041000033114	Jentadueto 2.5mg/850mg tablets	NA	1
8242841000033114	Komboglyze 2.5mg/1000mg tablets	NA	1
8242641000033113	Saxagliptin 2.5mg / Metformin 1g tablets	NA	1
8242541000033112	Saxagliptin 2.5mg / Metformin 850mg tablets	NA	1
8242741000033116	Komboglyze 2.5mg/850mg tablets	NA	1
8959941000033110	Vipdomet 12.5mg/1000mg tablets	NA	1
8959841000033119	Alogliptin 12.5mg / Metformin 1g tablets	NA	1
9106041000033110	Dapagliflozin 5mg / Metformin 1g tablets	NA	1
9106241000033120	Xigduo 5mg/1000mg tablets	NA	1
9106141000033114	Dapagliflozin 5mg / Metformin 850mg tablets	NA	1
9106341000033112	Xigduo 5mg/850mg tablets	NA	1
9851841000033112	Vokanamet 50mg/1000mg tablets	NA	1
9851541000033114	Canagliflozin 50mg / Metformin 1g tablets	NA	1
9851641000033110	Canagliflozin 50mg / Metformin 850mg tablets	NA	1
9851741000033118	Vokanamet 50mg/850mg tablets	NA	1
10614441000033112	Empagliflozin 12.5mg / Metformin 1g tablets	NA	1
10614841000033110	Synjardy 12.5mg/1000mg tablets	NA	1
10614741000033116	Synjardy 12.5mg/850mg tablets	NA	1
