ICD	Term	delivery
O36.5	Maternal care for poor foetal growth	NA
A34	Obstetrical tetanus	NA
F53	Mental and behavioural disorders associated with the puerperium, not elsewhere classified	NA
F53.0	Mild mental and behavioural disorders associated with the puerperium, not elsewhere classified	NA
F53.1	Severe mental and behavioural disorders associated with the puerperium, not elsewhere classified	NA
F53.8	Other mental and behavioural disorders associated with the puerperium, not elsewhere classified	NA
F53.9	Puerperal mental disorder, unspecified	NA
M83.0	Puerperal osteomalacia	NA
O00.0	Abdominal pregnancy 	NA
O00.1	Tubal pregnancy 	NA
O00.2	Ovarian pregnancy 	NA
O00.8	Other ectopic pregnancy 	NA
O00.9	Ectopic pregnancy, unspecified 	NA
O02.1	Missed abortion 	NA
O03.0	Spontaneous abortion: Incomplete, complicated by genital tract and pelvic infection	NA
O03.1	Spontaneous abortion: Incomplete, complicated by delayed or excessive haemorrhage	NA
O03.2	Spontaneous abortion: Incomplete, complicated by embolism	NA
O03.3	Spontaneous abortion: Incomplete, with other and unspecified complications	NA
O03.4	Spontaneous abortion: Incomplete, without complication	NA
O03.5	Spontaneous abortion: Complete or unspecified, complicated by genital tract and pelvic infection	NA
O03.6	Spontaneous abortion: Complete or unspecified, complicated by delayed or excessive haemorrhage	NA
O03.7	Spontaneous abortion: Complete or unspecified, complicated by embolism	NA
O03.8	Spontaneous abortion: Complete or unspecified, with other and unspecified complications	NA
O03.9	Spontaneous abortion: Complete or unspecified, without complication 	NA
O04.0	Medical abortion: Incomplete, complicated by genital tract and pelvic infection	NA
O04.1	Medical abortion: Incomplete, complicated by delayed or excessive haemorrhage	NA
O04.2	Medical abortion: Incomplete, complicated by embolism	NA
O04.3	Medical abortion: Incomplete, with other and unspecified complications	NA
O04.4	Medical abortion: Incomplete, without complication	NA
O04.5	Medical abortion: Complete or unspecified, complicated by genital tract and pelvic infection	NA
O04.6	Medical abortion: Complete or unspecified, complicated by delayed or excessive haemorrhage	NA
O04.7	Medical abortion: Complete or unspecified, complicated by embolism	NA
O04.8	Medical abortion: Complete or unspecified, with other and unspecified complications	NA
O04.9	Medical abortion: Complete or unspecified, without complication 	NA
O05.0	Other abortion: Incomplete, complicated by genital tract and pelvic infection	NA
O05.1	Other abortion: Incomplete, complicated by delayed or excessive haemorrhage	NA
O05.2	Other abortion: Incomplete, complicated by embolism	NA
O05.3	Other abortion: Incomplete, with other and unspecified complications	NA
O05.4	Other abortion: Incomplete, without complication	NA
O05.5	Other abortion: Complete or unspecified, complicated by genital tract and pelvic infection	NA
O05.6	Other abortion: Complete or unspecified, complicated by delayed or excessive haemorrhage	NA
O05.7	Other abortion: Complete or unspecified, complicated by embolism	NA
O05.8	Other abortion: Complete or unspecified, with other and unspecified complications	NA
O05.9	Other abortion: Complete or unspecified, without complication 	NA
O06.0	Unspecified abortion: Incomplete, complicated by genital tract and pelvic infection	NA
O06.1	Unspecified abortion: Incomplete, complicated by delayed or excessive haemorrhage	NA
O06.2	Unspecified abortion: Incomplete, complicated by embolism	NA
O06.3	Unspecified abortion: Incomplete, with other and unspecified complications	NA
O06.4	Unspecified abortion: Incomplete, without complication	NA
O06.5	Unspecified abortion: Complete or unspecified, complicated by genital tract and pelvic infection	NA
O06.6	Unspecified abortion: Complete or unspecified, complicated by delayed or excessive haemorrhage	NA
O06.7	Unspecified abortion: Complete or unspecified, complicated by embolism	NA
O06.8	Unspecified abortion: Complete or unspecified, with other and unspecified complications	NA
O06.9	Unspecified bortion: Complete or unspecified, without complication 	NA
O07.0	Failed medical abortion, complicated by genital tract and pelvic infection 	NA
O07.1	Failed medical abortion, complicated by delayed or excessive haemorrhage 	NA
O07.2	Failed medical abortion, complicated by embolism 	NA
O07.3	Failed medical abortion, with other and unspecified complications 	NA
O07.4	Failed medical abortion, without complication 	NA
O07.5	Other and unspecified failed attempted abortion, complicated by genital tract and pelvic infection 	NA
O07.6	Other and unspecified failed attempted abortion, complicated by delayed or excessive haemorrhage 	NA
O07.7	Other and unspecified failed attempted abortion, complicated by embolism 	NA
O07.8	Other and unspecified failed attempted abortion, with other and unspecified complications 	NA
O07.9	Other and unspecified failed attempted abortion, without complication 	NA
O08.0	Genital tract and pelvic infection following abortion and ectopic and molar pregnancy 	NA
O08.1	Delayed or excessive haemorrhage following abortion and ectopic and molar pregnancy 	NA
O08.2	Embolism following abortion and ectopic and molar pregnancy 	NA
O08.3	Shock following abortion and ectopic and molar pregnancy 	NA
O08.4	Renal failure following abortion and ectopic and molar pregnancy 	NA
O08.5	Metabolic disorders following abortion and ectopic and molar pregnancy 	NA
O08.6	Damage to pelvic organs and tissues following abortion and ectopic and molar pregnancy 	NA
O08.7	Other venous complications following abortion and ectopic and molar pregnancy 	NA
O08.8	Other complications following abortion and ectopic and molar pregnancy 	NA
O08.9	Complication following abortion and ectopic and molar pregnancy, unspecified 	NA
O10.0	Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium 	NA
O10.1	Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium 	NA
O10.2	Pre-existing hypertensive renal disease complicating pregnancy, childbirth and the puerperium 	NA
O10.3	Pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium 	NA
O10.4	Pre-existing secondary hypertension complicating pregnancy, childbirth and the puerperium 	NA
O10.9	Unspecified pre-existing hypertension complicating pregnancy, childbirth and the puerperium 	NA
O11	Pre-eclampsia superimposed on chronic hypertension 	NA
