medcodeid	Term	delivery
263452015	Male baby	1
263455018	Female baby	1
263452015	Male baby	1
1009341000006119	O/E - Fundal Size	NA
1009351000006117	O/E - Fundus Not Palpable	NA
1009361000006115	O/E - Fundus Palpable	NA
1009411000006111	Pregnant - number of weeks	NA
101047019	Quadruplet pregnancy	NA
101281000006114	Thyroid dysfunction during pregnancy - baby not yet delivered	NA
101311000006111	Throid dysfunction in the puerperium - baby delivered during current episode of care	NA
101321000006115	Throid dysfunction in the puerperium - baby delivered during previous episode of care	NA
102911000006116	To prevent grave permnt inj physic/mental health preg woman	NA
103271010	Couvelaire uterus	NA
105061000006110	Therapeutic percutaneous operations on fetus	NA
106001000006119	Third degree perineal tear during delivery with postnatal problem	NA
106809012	Triplet pregnancy	NA
108265019	Twin pregnancy	NA
109521000006114	Termination of pregnancy NEC	NA
109661000006119	Test request : Antenatal	NA
110371019	Amnioscopy	NA
11135016	Breech presentation	NA
112051000006119	Symphysiotomy to facilitate delivery	NA
112671000006116	Symto-thermal c'ceptn failure	NA
1149231000000114	Health in Pregnancy grant claim form issued	NA
115961000006114	Superficial thrombophlebitis in pregnancy and the puerperium - delivered with postnatal complication	NA
116021000006110	Superficial thrombophlebitis in pregnancy and the puerperium - delivered	NA
116363014	Fetal hydantoin syndrome	NA
116468018	Placenta accreta	NA
1176241000000114	Pregnancy advice for patients with epilepsy not indicated	NA
1176381000000110	Pregnancy advice for patients with epilepsy declined	NA
117831000006117	Suspect trisomy 21 foetus	NA
118738017	Amnion nodosum	NA
11932491000006114	Unborn child at risk of hepatitis B infection	NA
11935481000006118	Pregnacare	NA
1210042015	Amniotic fluid leaking	NA
1215838017	Abortion counselling	NA
1215839013	TOP counselling	NA
1215840010	Termination counselling	NA
1218884011	Patient ? pregnant	NA
1220321013	Diabetes mellitus arising in pregnancy	NA
1221051017	Hyperemesis of pregnancy	NA
1221052012	Excessive pregnancy vomiting	NA
1221299010	Estimated date of confinement	NA
1221450013	Born - place delivered	NA
1222150016	Grand multiparity unspecified	NA
1224190019	Fundal height	NA
1226072015	Preeclampsia	NA
1227472019	Uterine membrane observations	NA
1227621017	[V]Supervision of normal pregnancy	NA
1227622012	[V]Pregnancy with history of vesicular mole	NA
1227623019	[V]Pregnancy with history of hydatidiform mole	NA
1232000018	Thorax-joined twins	NA
1233295015	Buttock-joined twins	NA
1233354016	Fetal blood loss from cut co-twin's cord	NA
1233757014	Head-joined twins	NA
1234104012	Pregnancy confirmed	NA
1235620010	Post-term pregnancy	NA
12452501000006116	Pregnancy alcohol advice	NA
12452521000006114	Pregnant - ? planned	NA
